"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","sig"
"ENSSSCG00000000003",560.757170832665,0.147209019396244,0.0722622609436702,2.03714937055452,0.0416350756885019,0.108194550428624,0.147209019396244,"not"
"ENSSSCG00000000005",683.993512163137,-0.0342953922975403,0.0813476067422355,-0.421590673296774,0.673323815105734,0.77569710994747,-0.0342953922975403,"not"
"ENSSSCG00000000006",326.718104436292,-0.22315428861006,0.129464979587815,-1.72366526701297,0.0847682886755778,0.178863164194617,-0.22315428861006,"not"
"ENSSSCG00000000007",473.927403001406,-0.183197866998043,0.0935224891729571,-1.95886431828438,0.0501286787374609,0.12295742572448,-0.183197866998043,"not"
"ENSSSCG00000000010",1972.61617832237,-0.406173601048848,0.211163595944127,-1.92350200910729,0.0544170344212944,0.130561821482765,-0.406173601048848,"not"
"ENSSSCG00000000014",639.819055145742,0.00292276517159444,0.0706020548288543,0.0413977352171899,0.96697881828603,0.979432333370017,0.00292276517159444,"not"
"ENSSSCG00000000018",7998.8474583794,0.0549114536704243,0.0742363970290038,0.739683711333279,0.459491933971702,0.597801539786084,0.0549114536704243,"not"
"ENSSSCG00000000019",3090.29085600376,0.0711176061483676,0.045803780636777,1.55265799372171,0.120504862784958,0.229863276485777,0.0711176061483676,"not"
"ENSSSCG00000000020",216.949990508238,-0.0637895253778307,0.140131438413221,-0.455212093018896,0.648956661309612,0.756401066040786,-0.0637895253778307,"not"
"ENSSSCG00000000021",40.4325409334026,-0.423759736596601,0.248002985719885,-1.70868804408359,0.0875087499311503,0.183131961920877,-0.423759736596601,"not"
"ENSSSCG00000000022",7381.96940494633,-0.171542462123775,0.0574940407908551,-2.9836563888037,0.0028482643699476,0.0181176017924848,-0.171542462123775,"not"
"ENSSSCG00000000024",622.29487928907,-0.250669458650393,0.120192266050723,-2.08557061853386,0.0370175351215086,0.0997663923214317,-0.250669458650393,"not"
"ENSSSCG00000000025",360.632407775858,0.0805054829758705,0.123510280987839,0.651811997608498,0.514522460971736,0.646436833502782,0.0805054829758705,"not"
"ENSSSCG00000000026",9270.39477350288,-0.0517667340842997,0.073704829820099,-0.702351992544498,0.482459676432352,0.618530541418063,-0.0517667340842997,"not"
