"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"ENSSSCG00000000002",0.127222250103611,-1.72062659926046,0.468801971938834,0.641192031568906,0.864618382435652,-4.81513716527461,"not"
"ENSSSCG00000000003",0.147124567593358,3.44131724827312,1.9250392262276,0.0597626397001888,0.362133470952495,-4.11458662271492,"not"
"ENSSSCG00000000005",0.0311047358627916,3.62452944252856,0.491730680571833,0.625001695522598,0.857067767980689,-5.66673512344551,"not"
"ENSSSCG00000000006",-0.0068489345926143,2.69634192537547,-0.0739173161737248,0.941362883896969,0.981796205009679,-5.62863160919284,"not"
"ENSSSCG00000000007",0.070021389705516,3.04049240793392,0.696026065774506,0.489545643097265,0.790936975899043,-5.47291532270277,"not"
"ENSSSCG00000000010",0.0126956075323376,4.67703122060328,0.0960375377863651,0.923863953279496,0.975596598913986,-5.87208202698477,"not"
"ENSSSCG00000000014",-0.0718008980447337,3.60356054502426,-1.07538096409233,0.287222607728862,0.643460785366136,-5.24803305623553,"not"
"ENSSSCG00000000018",0.031280005180403,7.34686594288888,0.424761952796711,0.672781765016283,0.881185951172859,-5.72721223403426,"not"
"ENSSSCG00000000019",-0.0152801610455189,5.85777840203675,-0.303995386968294,0.762357787431582,0.917546552463818,-5.85087197291093,"not"
"ENSSSCG00000000020",-0.00383713838810114,2.19935761738647,-0.0285410104275649,0.977341108534124,0.993380510992307,-5.53652828063852,"not"
"ENSSSCG00000000021",-0.266920174113393,-1.17534888881938,-1.02568836512591,0.309837982714341,0.661850421070563,-4.66903746152735,"not"
"ENSSSCG00000000022",-0.0717159257266938,7.1027441426289,-1.4537828000809,0.152081101348083,0.502403121590088,-4.86217785789171,"not"
"ENSSSCG00000000024",0.0627450406971525,3.36185362981971,0.390392215647294,0.69785863849841,0.891210119604229,-5.67171237822972,"not"
"ENSSSCG00000000025",-0.0806336785217898,2.84871193090734,-0.648448356245205,0.519579483357101,0.805640187268516,-5.47048428457037,"not"
"ENSSSCG00000000026",0.0888061471696224,7.38751021041462,1.25697661851053,0.214439973469748,0.576921895401336,-5.08621083026766,"not"
"ENSSSCG00000000028",-0.315827440700754,0.430178933994668,-2.48580378319488,0.0162147234708272,0.254470602067362,-3.15216930240301,"not"
"ENSSSCG00000000029",-0.701758947208684,3.40079408777392,-2.30648103795817,0.0251460273346141,0.281844331288173,-3.43305135708408,"not"
"ENSSSCG00000000031",0.171387845078051,4.13443179004252,1.73904115072737,0.0880096329303112,0.41544856162615,-4.46571825639355,"not"
"ENSSSCG00000000033",0.201766133461198,1.85735085006774,1.52938694176573,0.132295524439255,0.477941201308199,-4.51104915045251,"not"
"ENSSSCG00000000034",-0.167975003265837,7.61295573514497,-1.92161724858938,0.0602025126592928,0.362958568404325,-4.1472496858741,"not"
"ENSSSCG00000000035",-0.00115411738855714,5.75527945703272,-0.0170038785022706,0.986499306486169,0.996205450718507,-5.89720226499233,"not"
"ENSSSCG00000000036",0.166745354490246,5.30266522448407,1.55551923985653,0.125954360820498,0.471181572658494,-4.7854586829359,"not"
"ENSSSCG00000000037",0.0178841688522585,4.25862466526958,0.332024091580016,0.741220247694476,0.90954182249457,-5.79478099370892,"not"
"ENSSSCG00000000038",-0.0581143209232054,6.4389687586496,-0.888737632070041,0.378281487398603,0.712069615284493,-5.50002974741919,"not"
"ENSSSCG00000000039",0.026310967248365,6.38233024615284,0.93706384090279,0.35310477236402,0.692946188441496,-5.46231566693461,"not"
"ENSSSCG00000000040",-0.269670353369112,7.74555086900764,-2.95761275140256,0.00467407538429836,0.212686143669798,-2.07704541065772,"not"
"ENSSSCG00000000045",0.313217694708894,5.2014674248523,3.0487850312248,0.00362455321091645,0.212686143669798,-1.89019819499756,"not"
"ENSSSCG00000000046",0.363640945558317,-0.536679018977572,0.865783877011464,0.390629035329385,0.723043183565111,-4.80170417107811,"not"
"ENSSSCG00000000050",0.141527845472498,4.36593478343259,1.91257224507592,0.0613785116269564,0.3652043990853,-4.20332393875781,"not"
"ENSSSCG00000000058",0.054420366789075,7.51161869484083,0.711595017960851,0.479930484974915,0.785384877705742,-5.5670528588089,"not"
"ENSSSCG00000000059",0.106485708133803,4.58940027428461,1.76644236854676,0.0832552648473774,0.407126289090617,-4.45076596568669,"not"
"ENSSSCG00000000061",0.039300543929936,4.73632128165526,0.540331867660958,0.591300194286565,0.839184733781397,-5.74340983519709,"not"
"ENSSSCG00000000062",-0.211517166502707,5.89086927746269,-0.849017048844697,0.399805914249572,0.729770831419596,-5.55547937707681,"not"
"ENSSSCG00000000063",0.17713241173289,3.44423978607109,3.09779014595981,0.00315596951511309,0.21031864152491,-1.7463607763008,"not"
"ENSSSCG00000000064",0.0249640365675938,8.79934688137044,0.493046148861886,0.624078346674013,0.856965636723695,-5.61207064484988,"not"
"ENSSSCG00000000066",-0.0192930138538021,5.33065816972116,-0.329267991380683,0.743290143281521,0.910094454510735,-5.8499330023564,"not"
"ENSSSCG00000000067",-0.0376260793731721,3.14987965380846,-0.321211547715253,0.749351630394085,0.912760352779354,-5.66219877021885,"not"
"ENSSSCG00000000068",-0.109838184350982,6.17799593253864,-2.63367783736207,0.0111295037438432,0.23719868700487,-2.83352728254954,"not"
"ENSSSCG00000000071",0.069399671922643,7.73727228008037,1.63685388917131,0.107765529465363,0.442987440411427,-4.5813751908003,"not"
"ENSSSCG00000000072",0.121819628777342,5.23307175472978,0.990551055690462,0.326541755134689,0.672516564873019,-5.44057886543155,"not"
"ENSSSCG00000000074",-0.0553054762279527,4.4008467222975,-0.19076772755204,0.84945853065858,0.95243723586349,-5.84012981780467,"not"
"ENSSSCG00000000075",-0.289660400933663,3.76899481367287,-3.11754597166061,0.00298365030227562,0.21031864152491,-1.70307738883988,"not"
"ENSSSCG00000000076",-0.0899060627393401,5.60680325050573,-1.4602310484888,0.150307836818259,0.500448484696641,-4.91505063402405,"not"
"ENSSSCG00000000077",0.131340009484514,3.82341574276656,2.17407193063341,0.0343246591112891,0.308331768700187,-3.71199571511125,"not"
"ENSSSCG00000000078",0.196971092524281,3.93355272714797,2.73841629180957,0.00846061284445449,0.230807595382114,-2.57776907113192,"not"
