"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"ENSSSCG00000000003",0.528357208209199,6.2095057905026,5.05142935531177,5.44223131177439e-06,0.000111765262072072,3.82347497319845,"not"
"ENSSSCG00000000005",0.854617292718789,6.01649916013119,4.95503947774334,7.64878895300076e-06,0.000142618495435272,3.49347607415809,"not"
"ENSSSCG00000000006",1.18945796698229,4.36574840681842,5.15404018879765,3.78027066360901e-06,8.53576038005987e-05,4.15131661793618,"not"
"ENSSSCG00000000007",0.160511742910318,2.62814558591541,1.61796700850325,0.111553022596972,0.209783427066648,-5.16081577160286,"not"
"ENSSSCG00000000010",-0.121715533198829,7.62432379806896,-1.22154050215126,0.227238687039492,0.357050617830971,-5.70666946525346,"not"
"ENSSSCG00000000014",-0.014039071124511,0.804831148851679,-0.128616674887664,0.898143417009511,0.935672676599652,-6.0334411519469,"not"
"ENSSSCG00000000018",0.0692737275527763,4.14854379205655,0.804085625057702,0.424907273499732,0.564070353178155,-6.26579383509822,"not"
"ENSSSCG00000000019",0.00681715057827016,5.50458782275756,0.170928644212862,0.864924912198039,0.913573902284762,-6.56683788207244,"not"
"ENSSSCG00000000021",0.711893223818815,1.58920419961287,5.1627740978401,3.66447675614515e-06,8.37485625310672e-05,4.27409165903715,"not"
"ENSSSCG00000000022",0.0551315072356448,2.27590983553684,0.638273299586278,0.526019536450365,0.652809096250617,-6.16730791831402,"not"
"ENSSSCG00000000024",0.0633327182255053,1.41182578382407,0.416153302940194,0.678963114416105,0.776332899644945,-6.10299741799012,"not"
"ENSSSCG00000000025",-0.335007710615956,2.58718136482139,-2.67455366796175,0.00990533715855067,0.0330613231123633,-3.09691800286093,"not"
"ENSSSCG00000000031",0.156930021312284,3.29525824213539,2.2561483821063,0.028173388155348,0.0737618300869134,-4.09935190482879,"not"
"ENSSSCG00000000033",-0.329851578545033,2.34335256803132,-2.4320852796139,0.0183913860272604,0.0534328416823784,-3.6074790680463,"not"
"ENSSSCG00000000034",0.190216400226315,6.66067133030127,3.49334998982772,0.000965909244171159,0.00566632321313242,-1.04239048325462,"not"
"ENSSSCG00000000035",-0.156396594004346,1.5316203285324,-1.58023689856058,0.119949338739471,0.220717514001453,-5.02173356407249,"not"
"ENSSSCG00000000036",0.164183880254282,3.73815421993958,2.21536103106118,0.031014434037366,0.0794926031284825,-4.21964470416872,"not"
"ENSSSCG00000000037",0.217748789379803,6.71046007591975,2.61840873145051,0.011466958746242,0.037015950204887,-3.29309372903861,"not"
"ENSSSCG00000000038",0.028389002777617,7.73079350276642,0.34749834310418,0.729580826504243,0.816614403545775,-6.36981583539444,"not"
"ENSSSCG00000000039",0.144360262671759,5.31364067256579,3.20979042398292,0.00224756340684628,0.0107863378373038,-1.88751431156381,"not"
"ENSSSCG00000000045",-0.0972228119747056,4.20806633158432,-1.02984179362686,0.307719259894109,0.447900966082048,-6.06485593292481,"not"
"ENSSSCG00000000046",-0.421427443894344,10.2858614918258,-3.08253724977533,0.00324206077988374,0.0141788997031194,-1.97018075543264,"not"
"ENSSSCG00000000050",0.0725357531658391,4.441735521417,0.716817567660346,0.476605516314207,0.610552259318823,-6.34140322254929,"not"
"ENSSSCG00000000058",-0.12483259180923,4.94149666333434,-2.40826708961838,0.0195065906886453,0.0556775281494637,-3.84906721929087,"not"
"ENSSSCG00000000059",0.0645297524961441,4.51745149539783,1.35030675866875,0.182604252566921,0.302365079344774,-5.70239332388177,"not"
"ENSSSCG00000000061",1.74614925442957,5.54866150937818,5.22429103736542,2.94221180220646e-06,7.04205021168106e-05,4.40146423219072,"not"
"ENSSSCG00000000062",0.0316701116672366,-1.3588772664156,0.102921318853308,0.918410366751891,0.949069474280603,-5.48270653519836,"not"
"ENSSSCG00000000063",0.530236749326328,3.32681181466647,4.28347363440943,7.69472842912938e-05,0.000835556232753571,1.31702232043944,"not"
"ENSSSCG00000000064",0.316524741073105,6.93857071478043,3.31393353718503,0.00165544772577116,0.0085729008111926,-1.52512058677398,"not"
"ENSSSCG00000000066",0.326402625495947,2.6619112856636,4.46435472471848,4.1820707209643e-05,0.000525704740264026,1.9400855089047,"not"
"ENSSSCG00000000067",-0.214959078849264,-1.56547735956228,-0.64458563750589,0.521951016436666,0.649421783531183,-5.26735332186045,"not"
"ENSSSCG00000000068",0.2731665532411,4.66315099301606,3.88786546582937,0.00028130027944269,0.00220156770427085,0.0416655685768292,"not"
"ENSSSCG00000000071",-0.212140694052851,8.67574762334616,-3.07852883553427,0.0032792545962103,0.0142657328170894,-2.05941847407472,"not"
"ENSSSCG00000000072",0.270747430562402,5.59758902036126,2.39570647893026,0.0201188362241318,0.0570667661638398,-3.85443722027722,"not"
"ENSSSCG00000000075",0.299345997240206,1.81412104779805,2.82257232655593,0.00667550073157299,0.0245535009771477,-2.63136733718965,"not"
"ENSSSCG00000000076",0.141304564234879,3.0980935382698,1.54148758862034,0.129094714126436,0.23346652242896,-5.33966254733375,"not"
"ENSSSCG00000000077",0.132558040526949,4.07220120037357,1.59640947239524,0.116289998298305,0.216031912342218,-5.33940067014615,"not"
